typosquatting_perpetrator,typosquatting_target,repository,detected,,,,,,,,,,,,
active_model-email-validator,active-model-email-validator,rubygems,yes,,,,,,,,,,,,
active-admin_filters_visibility,active_admin_filters_visibility,rubygems,yes,,,,,,,,,,,,
active-application,active_application,rubygems,yes,,,,,,,,,,,,
active-model_serializer_plus,active_model_serializer_plus,rubygems,yes,,,,,,,,,,,,
activerecord-rescue-from_duplicate,activerecord-rescue_from_duplicate,rubygems,yes,,,,,,,,,,,,
active-model_serializers-matchers,active_model_serializers_matchers,rubygems,yes,,,,,,,,,,,,
address-validator,address_validator,rubygems,yes,,,,,,,,,,,,
attribute-normalizer-extras,attribute_normalizer-extras,rubygems,yes,,,,,,,,,,,,
audiobank_client,audiobank-client,rubygems,yes,,,,,,,,,,,,
allq-client,allq_client,rubygems,yes,,,,,,,,,,,,
active-model_serializers_matchers,active_model_serializers_matchers,rubygems,yes,,,,,,,,,,,,
amazon_kinesis-client-ruby,amazon-kinesis-client-ruby,rubygems,yes,,,,,,,,,,,,
activerecord-strict_validations,activerecord_strict_validations,rubygems,yes,,,,,,,,,,,,
acts-as_commentable_with_replies,acts_as_commentable_with_replies,rubygems,yes,,,,,,,,,,,,
acts-as_journalized,acts_as_journalized,rubygems,yes,,,,,,,,,,,,
amplifypay-ruby,amplifypay_ruby,rubygems,yes,,,,,,,,,,,,
active-model_type_validator,active_model_type_validator,rubygems,yes,,,,,,,,,,,,
auto-scaling_methods,auto_scaling_methods,rubygems,yes,,,,,,,,,,,,
apache-felix_webconsole_client,apache_felix_webconsole_client,rubygems,yes,,,,,,,,,,,,
apache-felix_api_client,apache_felix_api_client,rubygems,yes,,,,,,,,,,,,
active-replica,active_replica,rubygems,yes,,,,,,,,,,,,
active-validator,active_validator,rubygems,yes,,,,,,,,,,,,
active-rest_client,active_rest_client,rubygems,yes,,,,,,,,,,,,
active-validation,activevalidation,rubygems,yes,,,,,,,,,,,,
ansible-tower_client,ansible_tower_client,rubygems,yes,,,,,,,,,,,,
angular-form_validation,angular_form_validation,rubygems,yes,,,,,,,,,,,,
angular_turbolinks,angular-turbolinks,rubygems,yes,,,,,,,,,,,,
android-string_resources_validator,android_string_resources_validator,rubygems,yes,,,,,,,,,,,,
access-policy,access_policy,rubygems,yes,,,,,,,,,,,,
any_validate,any-validate,rubygems,yes,,,,,,,,,,,,
